t_s,mem_util_pct,gpu_util_pct,bandwidth_gbps,phase
6.519905301975086,30,25,267.78,util_25
6.540798760979669,30,25,267.78,util_25
6.561617670988198,30,25,267.78,util_25
6.5824365799780935,30,25,267.78,util_25
6.603351540979929,30,25,267.78,util_25
6.624607804988045,30,25,267.78,util_25
6.645873111992842,30,25,267.78,util_25
6.666989317978732,30,25,267.78,util_25
6.68770453997422,30,25,267.78,util_25
6.708398562972434,30,26,267.78,util_25
6.729228524985956,30,26,267.78,util_25
6.750126705999719,30,26,267.78,util_25
6.770949835976353,30,26,267.78,util_25
6.791807426983723,30,26,267.78,util_25
6.812736051972024,30,26,267.78,util_25
6.834543806995498,30,26,267.78,util_25
6.855477555975085,30,26,267.78,util_25
6.876485151995439,30,26,267.78,util_25
6.897498876991449,30,26,267.78,util_25
6.918449303979287,30,26,267.78,util_25
6.939423341973452,30,26,267.78,util_25
6.9602419499715324,30,26,267.78,util_25
6.9822382919956,30,26,267.78,util_25
7.003324355988298,30,26,267.78,util_25
7.024138141976437,30,26,267.78,util_25
7.045117102999939,30,26,267.78,util_25
7.066460978996474,30,26,267.78,util_25
7.087679866992403,30,26,267.78,util_25
7.110233928979142,30,25,267.78,util_25
7.131072128977394,30,25,267.78,util_25
7.151871445996221,30,25,267.78,util_25
7.173607966979034,30,25,267.78,util_25
7.195346597000025,30,25,267.78,util_25
7.21718790999148,30,25,267.78,util_25
7.238942213996779,30,25,267.78,util_25
7.260676423989935,30,25,267.78,util_25
7.282649354980094,30,25,267.78,util_25
7.304665589996148,30,25,267.78,util_25
7.3264513419999275,30,27,267.78,util_25
7.3480727209826,30,27,267.78,util_25
7.369266792986309,30,27,267.78,util_25
7.390458654990653,30,27,267.78,util_25
7.411236772983102,30,27,267.78,util_25
7.432042720989557,30,27,267.78,util_25
7.452936891990248,30,27,267.78,util_25
7.473741308989702,30,27,267.78,util_25
7.494625340972561,30,27,267.78,util_25
7.5155105799785815,30,27,267.78,util_25
7.536408383981325,30,27,267.78,util_25
7.557228583988035,30,27,267.78,util_25
7.578153126989491,30,27,267.78,util_25
7.599192064983072,30,27,267.78,util_25
7.620139828999527,30,27,267.78,util_25
7.641844533995027,30,27,267.78,util_25
7.66383663599845,30,27,267.78,util_25
7.684806514997035,30,27,267.78,util_25
7.705817507987376,30,27,267.78,util_25
7.726784973987378,29,25,258.85,util_25
7.747599343972979,29,25,258.85,util_25
7.769098980992567,29,25,258.85,util_25
7.790348817972699,29,25,258.85,util_25
7.811551508988487,29,25,258.85,util_25
7.832842459989479,29,25,258.85,util_25
7.854249012976652,29,25,258.85,util_25
7.875387569976738,29,25,258.85,util_25
7.896324879984604,29,25,258.85,util_25
7.92007644099067,53,44,473.08,util_25
7.940991233976092,53,44,473.08,util_25
7.961910348996753,53,44,473.08,util_25
7.9827558799879625,53,44,473.08,util_25
8.004474457993638,53,44,473.08,util_25
8.025549986981787,53,44,473.08,util_25
8.04648488399107,53,44,473.08,util_25
8.067431340983603,53,44,473.08,util_25
8.088419313979102,53,44,473.08,util_25
8.109277209994616,53,44,473.08,util_25
8.130206377973082,55,47,490.93,util_25
8.151402333984151,55,47,490.93,util_25
8.172788379975827,55,47,490.93,util_25
8.19390532397665,55,47,490.93,util_25
8.215064689982682,55,47,490.93,util_25
8.23602863799897,55,47,490.93,util_25
8.257009675988229,55,47,490.93,util_25
8.277848270983668,55,47,490.93,util_25
8.299614596995525,55,47,490.93,util_25
8.320509686978767,32,28,285.63,util_25
8.341543196991552,32,28,285.63,util_25
8.362365407985635,32,28,285.63,util_25
8.383101368992357,32,28,285.63,util_25
8.40408351199585,32,28,285.63,util_25
8.424826911999844,32,28,285.63,util_25
8.445646962994942,32,28,285.63,util_25
8.46650603497983,32,28,285.63,util_25
8.487280327972258,32,28,285.63,util_25
8.508081975975074,32,28,285.63,util_25
8.529800101998262,30,25,267.78,util_25
8.550846029975219,30,25,267.78,util_25
8.571688607975375,30,25,267.78,util_25
8.592591527994955,30,25,267.78,util_25
8.613790419971338,30,25,267.78,util_25
8.634977846988477,30,25,267.78,util_25
8.656199970981106,30,25,267.78,util_25
8.677453974989476,30,25,267.78,util_25
8.698483006999595,30,25,267.78,util_25
8.719254583993461,30,27,267.78,util_25
8.739990962989395,30,27,267.78,util_25
8.761396622983739,30,27,267.78,util_25
8.782205913972575,30,27,267.78,util_25
8.803103100974113,30,27,267.78,util_25
8.823955635976745,30,27,267.78,util_25
8.844814607989974,30,27,267.78,util_25
8.865667644975474,30,27,267.78,util_25
8.886681692994898,30,27,267.78,util_25
8.907537546998356,30,27,267.78,util_25
8.928378918993985,30,26,267.78,util_25
8.949261724977987,30,26,267.78,util_25
8.970195719972253,30,26,267.78,util_25
8.991076513979351,30,26,267.78,util_25
9.011956202972215,30,26,267.78,util_25
9.032821006985614,30,26,267.78,util_25
9.05371628399007,30,26,267.78,util_25
9.074651988979895,30,26,267.78,util_25
9.096588246989995,30,26,267.78,util_25
9.120157232973725,30,26,267.78,util_25
9.141028070996981,30,26,267.78,util_25
9.161991230997955,30,26,267.78,util_25
9.182987175998278,30,26,267.78,util_25
9.203980607999256,30,26,267.78,util_25
9.224950304982485,30,26,267.78,util_25
9.24593176797498,30,26,267.78,util_25
9.266851381980814,30,26,267.78,util_25
9.287771397997858,30,26,267.78,util_25
9.308780014980584,30,26,267.78,util_25
9.329734626982827,30,26,267.78,util_25
9.350709955993807,30,26,267.78,util_25
9.371585017972393,30,26,267.78,util_25
9.392504128976725,30,26,267.78,util_25
9.413431084976764,30,26,267.78,util_25
9.43430204197648,30,26,267.78,util_25
9.45502871798817,30,26,267.78,util_25
9.475844935979694,30,26,267.78,util_25
9.49661718698917,30,26,267.78,util_25
9.517442257987568,30,26,267.78,util_25
9.538602351996815,30,26,267.78,util_25
9.559801783994772,30,26,267.78,util_25
9.581130797974765,30,26,267.78,util_25
9.602180424990365,30,26,267.78,util_25
9.62308869799017,30,26,267.78,util_25
9.644138123985613,30,26,267.78,util_25
9.665889186988352,30,26,267.78,util_25
9.687642060976941,30,26,267.78,util_25
9.709551781998016,30,26,267.78,util_25
9.73062887499691,30,27,267.78,util_25
9.75146440899698,30,27,267.78,util_25
9.772203258995432,30,27,267.78,util_25
9.793000058998587,30,27,267.78,util_25
9.814065480983118,30,27,267.78,util_25
9.834749197994824,30,27,267.78,util_25
9.856478328991216,30,27,267.78,util_25
9.878078077977989,30,27,267.78,util_25
9.89966112698312,30,27,267.78,util_25
9.920829771988792,30,27,267.78,util_25
9.94208071497269,30,25,267.78,util_25
9.96335882198764,30,25,267.78,util_25
9.984463279979536,30,25,267.78,util_25
10.005248509987723,30,25,267.78,util_25
10.025990377995186,30,25,267.78,gap
10.04686585298623,30,25,267.78,gap
10.067747464985587,30,25,267.78,gap
10.088482692983234,30,25,267.78,gap
10.109335430985084,30,25,267.78,gap
10.130921598989516,23,20,205.30,gap
10.15177242498612,23,20,205.30,gap
10.172633009991841,23,20,205.30,gap
10.193375380971702,23,20,205.30,gap
10.214100849989336,23,20,205.30,gap
10.234859922988107,23,20,205.30,gap
10.255801395978779,23,20,205.30,gap
10.276649203995476,23,20,205.30,gap
10.298216859984677,23,20,205.30,gap
10.320377194992034,23,20,205.30,gap
10.341321686981246,0,2,0.00,gap
10.362230864993762,0,2,0.00,gap
10.383337234990904,0,2,0.00,gap
10.404576707980596,0,2,0.00,gap
10.425658931984799,0,2,0.00,gap
10.446736457990482,0,2,0.00,gap
10.467840784986038,0,2,0.00,gap
10.488592662994051,0,2,0.00,gap
10.509346855978947,0,2,0.00,gap
10.53485145198647,5,5,44.63,util_50
10.5558939849725,5,5,44.63,util_50
10.576842516980832,5,5,44.63,util_50
10.597801214986248,5,5,44.63,util_50
10.619115882989718,5,5,44.63,util_50
10.640134663990466,5,5,44.63,util_50
10.66121996898437,5,5,44.63,util_50
10.682192152977223,5,5,44.63,util_50
10.7032193869818,5,5,44.63,util_50
10.724211094988277,5,5,44.63,util_50
10.745462056976976,100,94,892.59,util_50
10.766838318988448,100,94,892.59,util_50
10.787915269989753,100,94,892.59,util_50
10.808946228993591,100,94,892.59,util_50
10.83006041799672,100,94,892.59,util_50
10.851356769999256,100,94,892.59,util_50
10.872227203974035,100,94,892.59,util_50
10.89316597499419,100,94,892.59,util_50
10.914112091995776,100,94,892.59,util_50
10.948814461997245,64,56,571.26,util_50
10.970160026976373,64,56,571.26,util_50
10.991801680997014,64,56,571.26,util_50
11.012950088974321,64,56,571.26,util_50
11.033950149983866,64,56,571.26,util_50
11.05486396199558,64,56,571.26,util_50
11.076128308981424,64,56,571.26,util_50
11.097225388977677,64,56,571.26,util_50
11.118424721993506,64,56,571.26,util_50
11.13951183797326,59,54,526.63,util_50
11.1606754429813,59,54,526.63,util_50
11.181757728976663,59,54,526.63,util_50
11.203231914987555,59,54,526.63,util_50
11.224297191976802,59,54,526.63,util_50
11.2452593119815,59,54,526.63,util_50
11.266721721971408,59,54,526.63,util_50
11.288633901975118,59,54,526.63,util_50
11.310716368985595,59,54,526.63,util_50
